Time_of_Day,Students_Present,Temperature_C,Appliance_Usage,Day_of_Week,Energy_Consumption_kWh,Month,Season,Building_Type,Weather_Condition,Occupancy_Level,Shift,HVAC_Mode,Event_Type,Maintenance_Status,Humidity_Percent,Wind_Speed_kmh,Solar_Radiation_Wm2,HVAC_Usage_kW,Lighting_Usage_kW,Water_Usage_Liters,CO2_Level_ppm
16,408.0,35.45,10.0,5,277.85,4,Spring,Library,Cloudy,,Afternoon,Off,Holiday,Post_Maintenance,31.5,3.6,419.0,19.5,8.45,151.1,564.9
0,4535.0,37.89,58.0,3,229.41,9,Fall,Classroom,Rainy,Low,Night,Ventilation,Regular_Class,Normal,42.6,25.3,13.0,20.05,9.66,316.0,469.5
5,73.0,18.08,56.0,6,221.94,9,Fall,Classroom,Cloudy,,Night,Heating,Exam,Normal,57.2,4.0,7.7,26.83,0.74,1745.8,439.4
13,543.0,34.48,18.0,3,279.54,4,Spring,Classroom,Partly_Cloudy,Full,Afternoon,Heating,Regular_Class,Scheduled_Check,42.2,13.7,593.6,4.52,8.62,1630.0,677.4
16,201.0,34.27,46.0,4,259.97,9,Fall,Laboratory,Sunny,Medium,Afternoon,Off,Regular_Class,Normal,90.4,45.4,214.1,7.16,11.06,2020.6,483.0
22,53.0,22.86,7.0,1,41.01,7,Summer,Classroom,Sunny,Low,Evening,Off,Seminar,,31.2,0.9,17.3,2.32,9.02,974.1,
20,465.0,25.04,58.0,6,384.93,8,Summer,Office,Sunny,High,Evening,Cooling,Exam,Post_Maintenance,31.0,23.8,13.7,0.03,2.64,326.0,641.8
19,124.0,20.2,29.0,6,180.39,3,Spring,Classroom,Rainy,Medium,Evening,Ventilation,Regular_Class,Normal,82.7,40.2,4.9,26.44,3.76,548.9,
15,177.0,-22.355500846141997,12.0,2,161.07,7,Summer,Auditorium,Sunny,Medium,Afternoon,Cooling,No_Event,Normal,61.7,49.3,921.6,14.26,13.16,1656.4,
18,343.0,17.45,3.0,4,166.5,7,Summer,Office,Partly_Cloudy,High,Evening,Cooling,Workshop,Normal,74.1,14.6,954.9,2.43,9.55,1988.1,557.6
17,63.0,25.76,36.0,1,1144.020044680055,12,Winter,Cafeteria,Cloudy,Low,Afternoon,Cooling,Workshop,Normal,68.1,29.0,463.1,17.86,3.44,1670.4,464.5
5,48.0,15.89,17.0,7,141.44,3,Spring,Auditorium,Sunny,Low,Night,Off,No_Event,,45.1,5.3,2.4,22.09,6.81,,429.3
18,23.0,18.87,50.0,2,207.26,12,Winter,Classroom,Rainy,Low,Evening,Auto,No_Event,Normal,57.0,22.9,349.9,24.57,13.22,668.4,410.5
7,,21.35,59.0,4,250.38,2,Winter,Library,Cloudy,Medium,Morning,Ventilation,Holiday,Normal,66.6,31.1,747.0,28.57,2.54,2238.5,509.8
1,1497.0,24.08,37.0,5,890.56,7,Summer,Auditorium,Windy,Full,Night,Cooling,Exam,Normal,39.4,39.0,13.8,27.56,0.45,169.9,1136.7
12,214.0,31.3,9.0,4,209.31,1,Winter,Gymnasium,Sunny,Medium,Afternoon,,Holiday,Normal,31.7,46.3,565.6,5.87,3.76,2234.0,512.6
8,58.0,25.08,48.0,3,208.61,7,Summer,Classroom,Sunny,Low,Morning,Cooling,Exam,Under_Maintenance,40.3,28.4,870.5,24.03,7.18,1508.4,420.1
18,285.0,15.42,55.0,3,270.04,3,Spring,Gymnasium,Sunny,Medium,Evening,Auto,Workshop,Post_Maintenance,40.9,25.6,974.2,28.05,11.29,1034.8,523.6
9,583.0,,14.0,6,299.99,2,Winter,Office,Cloudy,Full,Morning,Cooling,Regular_Class,Normal,81.5,45.3,968.4,18.51,5.29,1908.5,701.6
21,35.0,27.27,46.0,6,155.78,11,Fall,Library,Rainy,Low,Evening,Ventilation,Sports_Event,Normal,37.7,31.2,0.5,11.62,10.61,1551.9,439.1
13,570.0,16.24,,7,324.16,6,Summer,Laboratory,Cloudy,Full,Afternoon,Off,Regular_Class,Normal,75.4,10.1,897.9,29.43,10.36,2459.8,666.9
21,255.0,15.86,37.0,7,215.48,12,Winter,Auditorium,Foggy,Medium,Evening,Cooling,Exam,Normal,43.4,42.3,0.2,22.91,5.4,2613.4,533.9
19,19.0,24.93,34.0,7,131.95,10,Fall,Classroom,Sunny,Low,Evening,Ventilation,Regular_Class,Normal,52.5,24.8,14.4,0.91,9.4,1249.7,424.4
18,5.0,25.59,46.0,2,181.68,6,Summer,Library,Rainy,Low,Evening,Heating,Sports_Event,Normal,72.0,44.7,272.7,19.85,5.73,2575.6,413.9
22,412.0,,40.0,4,321.18,6,Summer,Auditorium,Rainy,High,Evening,Cooling,Regular_Class,Normal,,40.4,17.2,11.59,6.64,117.4,628.4
17,400.0,20.93,52.0,1,301.01,1,Winter,,Cloudy,High,Afternoon,Auto,Holiday,Normal,59.4,25.0,611.0,15.24,6.41,2185.3,586.3
1,4271.0,23.04,28.0,6,179.17,2,Winter,Auditorium,Rainy,Medium,Night,Cooling,Seminar,Normal,51.5,2.1,,29.73,7.86,604.4,517.0
10,478.0,36.83,59.0,6,343.79,12,Winter,Classroom,Foggy,High,Morning,Ventilation,No_Event,Under_Maintenance,69.4,20.4,148.5,24.54,0.07,424.0,644.7
6,500.0,,33.0,3,340.6,9,Fall,Laboratory,,Full,Morning,Cooling,Regular_Class,Normal,38.1,30.5,552.2,27.83,9.69,554.4,
17,381.0,20.59,26.0,4,234.54,10,Fall,Auditorium,Sunny,High,Afternoon,Heating,Seminar,Normal,,4.7,919.8,18.41,9.37,1817.7,606.8
16,433.0,39.56,,2,360.31,1,Winter,Auditorium,Sunny,High,Afternoon,Off,Workshop,Normal,30.2,49.9,374.0,29.14,3.34,589.9,592.7
11,183.0,16.13,6.0,6,126.75,9,Fall,Cafeteria,Windy,Medium,Morning,Off,Regular_Class,Normal,39.4,43.4,225.0,26.61,11.61,,437.4
12,488.0,16.28,3.0,7,211.36,2,Winter,Library,Sunny,High,Afternoon,Cooling,Workshop,Normal,,24.6,554.1,5.76,14.25,1072.4,660.8
9,177.0,17.08,19.0,1,183.69,2,Winter,Cafeteria,Sunny,Medium,Morning,Heating,No_Event,Normal,87.7,,658.3,21.43,8.0,284.1,536.6
10,472.0,28.85,14.0,1,274.0,10,Fall,Office,Sunny,High,Morning,Ventilation,Regular_Class,Normal,,42.5,210.9,4.67,11.66,605.8,670.9
5,219.0,36.2,32.0,2,202.38,5,Spring,Auditorium,Windy,Medium,Night,Off,No_Event,Normal,33.7,34.3,12.1,26.4,6.69,1074.3,481.9
6,247.0,25.73,,4,242.58,12,Winter,Auditorium,Foggy,Medium,Morning,Cooling,Regular_Class,Normal,43.3,1.9,574.1,23.0,14.97,2686.8,528.9
21,436.0,36.83,20.0,3,298.03,11,Fall,Laboratory,Stormy,High,Evening,Heating,Regular_Class,Normal,74.4,15.2,6.9,26.0,13.73,650.9,660.4
11,137.0,27.27,5.0,2,137.35,8,Summer,Auditorium,Sunny,Medium,Morning,Cooling,Exam,Under_Maintenance,90.1,24.7,142.8,29.47,4.12,835.0,480.2
9,,19.79,34.0,7,258.59,6,Summer,Laboratory,Cloudy,High,Morning,Ventilation,Workshop,Normal,71.9,22.0,129.6,12.29,5.87,907.3,550.9
1,309.0,18.86,12.0,5,210.74,4,Spring,Gymnasium,Sunny,High,Night,Off,Regular_Class,Under_Maintenance,74.2,43.5,16.3,15.19,0.06,461.7,585.3
12,171.0,38.63,12.0,2,186.44,1,Winter,Auditorium,Windy,Medium,Afternoon,Off,Holiday,Scheduled_Check,41.2,24.7,749.3,16.38,7.06,2857.4,483.1
7,327.0,25.47,19.0,1,205.04,3,Spring,Gymnasium,Sunny,High,Morning,Ventilation,Regular_Class,Under_Maintenance,44.8,16.2,794.2,8.99,3.55,1895.3,
7,,35.5,10.0,5,183.33,9,Fall,Office,Cloudy,Medium,Morning,Auto,Regular_Class,Normal,77.0,16.7,867.6,7.47,10.89,1868.4,432.1
6,383.0,38.16,52.0,1,362.74,2,Winter,Gymnasium,Sunny,High,Morning,Cooling,Exam,Scheduled_Check,39.0,21.1,376.7,15.19,10.23,1399.1,
15,202.0,28.93,28.0,4,182.57,10,Fall,Classroom,Sunny,Medium,Afternoon,Cooling,Workshop,Under_Maintenance,59.7,31.8,,5.85,2.14,1764.4,490.1
7,,32.85,26.0,5,272.0,3,Spring,Gymnasium,Sunny,High,Morning,Heating,Seminar,Normal,31.0,28.7,699.6,27.23,12.11,2233.9,569.6
21,517.0,26.8,24.0,1,262.86,5,Spring,,Cloudy,Full,Evening,Heating,Workshop,Scheduled_Check,34.7,6.2,1.4,1.57,2.26,2824.6,693.8
9,101.0,23.15,15.0,6,148.83,1,Winter,Gymnasium,Partly_Cloudy,Medium,Morning,Cooling,Regular_Class,Normal,67.8,35.5,,5.65,3.81,571.7,508.2
18,140.0,27.27,3.0,1,181.75,4,Spring,Office,Cloudy,Medium,Evening,Cooling,Exam,Normal,39.1,38.2,134.9,3.32,2.25,1141.8,453.6
21,176.0,,49.0,1,252.31,3,Spring,Auditorium,Partly_Cloudy,Medium,Evening,Ventilation,Regular_Class,Scheduled_Check,43.7,1.1,10.6,26.74,14.76,1912.5,459.2
1,252.0,37.47,1.0,2,159.52,10,Fall,Laboratory,Partly_Cloudy,Medium,Night,Heating,Sports_Event,Post_Maintenance,87.1,23.8,3.9,9.5,6.52,708.9,547.0
20,96.0,16.18,42.0,5,177.97,5,Spring,Office,Foggy,Low,Evening,Cooling,Regular_Class,Post_Maintenance,82.2,3.2,7.9,28.99,11.64,2928.4,392.5
12,264.0,37.21,43.0,4,235.67,11,Fall,Library,Partly_Cloudy,Medium,Afternoon,,Holiday,Normal,53.1,14.5,818.6,3.5,12.58,1186.5,562.5
15,527.0,38.36,30.0,4,339.0,2,Winter,Cafeteria,Windy,Full,Afternoon,Off,Sports_Event,Normal,93.7,34.7,241.4,2.64,9.69,718.7,652.7
2,56.0,37.49,36.0,6,154.81,7,Summer,Cafeteria,,Low,Night,Off,Regular_Class,Normal,91.7,5.8,11.5,22.31,11.59,271.8,471.1
13,,16.47,45.0,7,239.85,12,Winter,Classroom,Cloudy,,Afternoon,Ventilation,Regular_Class,Normal,65.6,2.7,772.5,22.38,8.14,799.4,527.4
16,11.0,29.1,12.0,3,67.83,7,Summer,Laboratory,Foggy,Low,Afternoon,Heating,Holiday,Normal,94.9,12.7,948.3,9.18,11.6,2973.4,451.6
10,280.0,,22.0,3,250.32,2,Winter,Gymnasium,Windy,Medium,Morning,Ventilation,Sports_Event,Under_Maintenance,61.7,7.4,895.8,20.11,10.53,2762.0,572.9
5,327.0,18.3,13.0,5,221.59,7,Summer,Gymnasium,Rainy,High,Night,Auto,Exam,Normal,37.7,12.9,3.5,0.44,2.19,1876.5,529.9
21,22.0,35.56,31.0,5,184.09,7,Summer,Gymnasium,Foggy,Low,Evening,Cooling,Regular_Class,Normal,63.6,38.5,7.8,3.98,8.19,352.2,398.3
10,40.0,28.64,3.0,2,128.44,4,Spring,Gymnasium,Sunny,,Morning,Heating,Holiday,Post_Maintenance,81.3,5.1,233.7,29.41,1.4,1571.3,451.3
5,564.0,25.88,47.0,4,336.61,11,Fall,Gymnasium,Partly_Cloudy,Full,Night,Heating,Seminar,Normal,81.3,36.0,7.1,22.79,1.56,1776.1,
3,420.0,19.02,0.0,4,202.78,3,Spring,Library,Partly_Cloudy,High,Night,,Regular_Class,Normal,68.1,44.5,4.2,11.9,,934.6,622.6
3,311.0,20.49,56.0,7,355.95,5,Spring,Cafeteria,Rainy,High,Night,Ventilation,Regular_Class,Post_Maintenance,45.6,34.9,2.9,23.76,11.74,2148.9,566.2
0,397.0,28.3,26.0,5,271.43,2,Winter,Classroom,Stormy,High,Night,Cooling,Regular_Class,Post_Maintenance,52.3,15.1,17.4,6.7,12.18,1618.3,567.0
21,155.0,26.14,17.0,2,170.54,2,Winter,Auditorium,Sunny,Medium,Evening,Auto,Regular_Class,Normal,82.8,46.4,3.2,6.03,6.93,,528.5
22,293.0,27.6,4.0,5,214.56,8,Summer,Office,Sunny,Medium,Evening,Ventilation,Holiday,Normal,66.7,25.0,18.7,23.85,10.01,898.7,513.3
23,425.0,39.7,12.0,4,255.57,4,Spring,Laboratory,Sunny,High,Evening,Cooling,Regular_Class,,54.7,30.3,18.5,26.42,3.96,468.5,638.6
2,262.0,,12.0,7,164.29,2,Winter,Classroom,Cloudy,Medium,Night,Ventilation,Holiday,Normal,91.0,24.7,2.2,1.36,10.96,,476.2
17,81.0,35.63,6.0,2,127.75,7,Summer,Office,Sunny,Low,Afternoon,Cooling,No_Event,Normal,60.2,39.1,671.0,25.51,1.87,943.4,484.7
22,404.0,16.17,14.0,4,262.83,4,Spring,Library,Foggy,High,Evening,Cooling,No_Event,Post_Maintenance,80.6,14.2,7.9,9.1,1.92,1256.2,611.7
1,113.0,38.34,44.0,3,202.09,7,Summer,Cafeteria,Stormy,Medium,Night,Cooling,Regular_Class,Post_Maintenance,44.3,,18.6,8.24,2.69,1052.3,459.1
11,,36.68,37.0,6,282.0,11,Fall,Laboratory,Windy,High,Morning,Ventilation,No_Event,Scheduled_Check,39.3,21.3,773.7,25.5,1.24,346.4,567.7
11,172.0,37.77,41.0,5,227.25,10,Fall,Laboratory,Partly_Cloudy,Medium,Morning,Heating,Regular_Class,Normal,43.6,13.8,977.4,3.51,9.83,1323.3,490.0
23,553.0,24.98,,4,356.83,6,Summer,Office,Cloudy,,Evening,Heating,Exam,Scheduled_Check,33.5,22.6,16.3,3.74,,276.5,669.8
11,394.0,18.37,56.0,1,343.46,12,Winter,Auditorium,Windy,High,Morning,Cooling,Regular_Class,Normal,79.3,29.7,,21.24,8.38,,621.6
18,588.0,32.88,4.0,7,300.55,10,Fall,Auditorium,,Full,Evening,Heating,Exam,Normal,93.5,42.7,708.9,20.88,11.13,840.6,681.9
7,519.0,16.08,16.0,1,251.83,9,Fall,Office,Rainy,,Morning,Cooling,Holiday,,34.0,43.0,,7.68,13.53,2603.3,666.2
17,24.0,21.41,31.0,1,168.62,11,Fall,Classroom,Stormy,Low,Afternoon,Heating,Exam,Normal,54.0,6.3,330.2,16.5,6.3,429.5,405.3
4,205.0,20.13,49.0,1,234.81,4,Spring,Gymnasium,Cloudy,Medium,Night,Heating,Workshop,Normal,45.8,19.7,8.2,14.84,3.09,1368.5,517.1
13,570.0,17.02,9.0,4,257.38,4,Spring,Office,,Full,Afternoon,Ventilation,Exam,Normal,56.9,6.9,537.7,29.93,0.74,987.1,727.3
22,464.0,29.63,7.0,1,247.59,10,Fall,Office,Sunny,,Evening,Heating,Seminar,Post_Maintenance,65.7,30.9,5.7,13.38,1.54,2421.4,635.6
0,98.0,33.01,54.0,7,195.02,3,Spring,Gymnasium,Rainy,Low,Night,,Regular_Class,Normal,77.8,14.8,1.0,21.21,10.9,301.4,445.9
6,208.0,32.87,25.0,7,214.93,8,Summer,Classroom,Sunny,Medium,Morning,Cooling,Regular_Class,Normal,63.4,20.4,,14.24,12.48,2215.3,512.0
17,272.0,34.64,18.0,6,237.57,6,Summer,,Foggy,Medium,Afternoon,Cooling,Sports_Event,Normal,76.0,9.2,397.8,,0.26,846.4,577.6
16,529.0,23.0,0.0,7,224.76,11,Fall,Office,Rainy,Full,Afternoon,Cooling,No_Event,Post_Maintenance,43.2,26.0,698.8,11.25,14.14,2815.0,665.6
0,285.0,,30.0,5,255.71,4,Spring,Library,Sunny,Medium,Night,Cooling,Regular_Class,Scheduled_Check,54.2,2.7,9.8,4.32,11.39,1078.2,526.1
0,204.0,38.65,27.0,6,226.46,1,Winter,Cafeteria,Stormy,Medium,Night,Off,Sports_Event,Normal,56.9,25.4,11.4,10.33,7.92,1285.4,521.5
21,7.0,31.35,39.0,5,168.88,9,Fall,Gymnasium,Cloudy,Low,Evening,Off,Regular_Class,Post_Maintenance,35.4,23.0,12.2,26.43,13.7,1243.8,443.6
4,171.0,34.9,54.0,2,212.09,12,Winter,Gymnasium,,Medium,Night,Cooling,No_Event,Post_Maintenance,63.3,31.0,7.9,12.96,1.69,456.2,
4,81.0,,31.0,1,193.62,9,Fall,Gymnasium,Foggy,Low,Night,Heating,Regular_Class,Scheduled_Check,86.2,15.5,13.8,9.48,,674.8,519.1
22,17.0,19.1,7.0,1,95.65,1,Winter,Library,Sunny,Low,Evening,Auto,Exam,Normal,61.4,10.4,0.7,2.76,0.92,2897.9,372.5
16,556.0,39.31,1.0,7,275.24,12,Winter,Gymnasium,Sunny,Full,Afternoon,Ventilation,Regular_Class,Normal,52.8,14.6,414.3,,3.87,1890.6,679.2
4,72.0,39.14,22.0,4,169.63,6,Summer,Auditorium,Cloudy,Low,Night,Cooling,Regular_Class,Under_Maintenance,-4.40690852877878,43.2,7.3,25.76,1.12,1630.3,475.6
2,128.0,28.55,42.0,6,187.89,1,Winter,Laboratory,Sunny,Medium,Night,,Exam,,75.2,1.0,8.0,8.67,8.31,185.0,428.3
7,57.0,,39.0,4,192.48,1,Winter,Laboratory,Sunny,Low,Morning,,Exam,Normal,,17.5,262.9,3.29,3.11,1899.5,480.9
3,414.0,21.62,58.0,2,352.26,10,Fall,Cafeteria,Rainy,High,Night,Ventilation,Regular_Class,Normal,,28.1,15.8,,13.98,1809.6,618.3
9,221.0,38.8,32.0,2,222.16,9,Fall,Cafeteria,Cloudy,Medium,Morning,,Regular_Class,Post_Maintenance,37.0,40.0,566.5,28.25,12.08,1035.9,505.7
18,274.0,29.82,24.0,4,251.63,7,Summer,,Cloudy,Medium,Evening,Cooling,Seminar,Normal,93.7,17.4,918.0,5.93,7.13,651.2,552.3
18,305.0,34.44,27.0,5,265.22,7,Summer,Classroom,,High,Evening,Ventilation,Exam,Normal,89.1,19.9,767.0,12.52,10.13,2542.3,541.1
6,245.0,20.11,12.0,2,184.88,12,Winter,Office,Partly_Cloudy,Medium,Morning,,Regular_Class,,82.4,33.3,204.7,13.62,2.64,2530.5,524.3
7,99.0,26.83,50.0,5,208.26,9,Fall,Laboratory,Windy,,Morning,Off,Holiday,Normal,49.8,47.6,436.5,6.78,13.44,294.1,472.3
7,402.0,29.21,24.0,3,249.77,5,Spring,Office,,High,Morning,Ventilation,Exam,Normal,66.4,44.5,407.2,23.86,7.48,1301.0,665.5
6,489.0,26.35,28.0,4,299.65,11,Fall,Auditorium,Cloudy,High,Morning,Heating,Regular_Class,Normal,61.9,49.1,500.3,27.64,7.87,1608.3,606.9
14,163.0,32.92,5.0,5,173.72,9,Fall,Auditorium,Partly_Cloudy,Medium,Afternoon,Cooling,Holiday,Normal,78.4,,961.4,23.26,,2027.9,429.2
20,,38.16,37.0,5,312.07,8,Summer,Cafeteria,Sunny,High,Evening,,Regular_Class,Normal,72.1,33.7,18.7,10.03,4.76,374.2,571.1
0,,26.38,19.0,5,299.44,11,Fall,Office,Rainy,High,Night,,Holiday,Under_Maintenance,90.4,26.1,16.4,29.9,14.64,251.3,630.6
10,258.0,39.04,4.0,7,162.82,1,Winter,Office,Partly_Cloudy,Medium,Morning,Off,No_Event,Normal,54.9,47.8,908.3,22.73,11.9,464.5,526.6
1,301.0,,41.0,1,257.16,8,Summer,Office,Partly_Cloudy,High,Night,Cooling,Regular_Class,Post_Maintenance,67.4,31.2,5.3,6.55,7.96,1509.7,563.6
21,126.0,28.91,8.0,6,178.54,1,Winter,Office,Stormy,Medium,Evening,Cooling,Holiday,Normal,81.6,6.4,10.3,25.26,7.68,2522.7,490.8
21,,32.26,8.0,2,150.11,8,Summer,Library,Sunny,Medium,Evening,Ventilation,Regular_Class,Normal,46.8,26.1,4.8,11.29,3.32,1982.3,474.6
10,373.0,39.39,48.0,1,2749.5654987001926,10,Fall,Office,Windy,High,Morning,Cooling,Workshop,Normal,54.4,15.3,358.0,4.22,11.19,1742.9,570.8
14,513.0,34.51,42.0,1,355.68,2,Winter,Library,Sunny,Full,Afternoon,Auto,Regular_Class,,49.7,7.6,988.5,23.9,3.89,1608.7,654.7
16,305.0,18.01,55.0,4,298.3,10,Fall,Gymnasium,Sunny,High,Afternoon,,Regular_Class,Normal,75.2,35.5,171.7,1.81,14.32,1500.7,550.6
6,184.0,30.0,52.0,3,257.91,9,Fall,,Sunny,Medium,Morning,Cooling,Regular_Class,Normal,94.3,16.9,909.4,1.92,7.06,2384.9,498.1
20,267.0,33.0,27.0,6,239.69,2,Winter,Library,Sunny,,Evening,Cooling,Workshop,,76.2,31.0,2.9,6.92,8.05,237.9,514.9
1,183.0,17.9,51.0,3,194.07,12,Winter,Labratory,Sunny,Medium,Night,Cooling,No_Event,Post_Maintenance,36.8,32.0,17.0,1.21,0.59,1903.2,490.9
2,587.0,19.0,26.0,5,312.57,5,Spring,Gymnasium,Sunny,Full,Night,Auto,Regular_Class,Normal,81.4,24.1,9.3,21.34,0.19,1523.8,740.4
22,284.0,28.46,44.0,5,298.36,10,Fall,Gymnasium,Sunny,Medium,Evening,Cooling,Exam,Normal,72.2,21.3,7.1,14.62,7.48,199.1,561.7
4,508.0,37.91,38.0,1,342.54,4,Spring,Auditorium,Sunny,Full,Night,Off,Sports_Event,Post_Maintenance,62.2,45.6,10.2,11.01,11.08,1258.6,632.2
19,433.0,28.05,13.0,1,287.91,4,Spring,Gymnasium,Sunny,High,Evening,,Exam,Post_Maintenance,93.5,20.3,13.7,3.55,10.74,2502.5,621.7
22,24.0,20.89,32.0,4,107.22,6,Summer,Classroom,Rainy,Low,Evening,Cooling,Regular_Class,Normal,94.4,7.3,5.4,9.55,12.08,293.9,431.8
9,385.0,24.78,53.0,4,307.67,6,Summer,Office,Rainy,High,Morning,Cooling,Sports_Event,Normal,54.0,7.9,859.5,26.16,2.27,175.5,595.4
16,394.0,35.6,2.0,6,-88.71335044059995,11,Fall,Library,Sunny,High,Afternoon,Heating,Sports_Event,Normal,36.5,17.0,772.0,16.81,,1989.9,621.8
7,39.0,34.61,41.0,4,208.88,12,Winter,,Sunny,Low,Morning,Auto,Workshop,Normal,74.4,32.8,743.8,20.65,0.91,2987.3,447.6
7,419.0,36.27,10.0,4,272.48,10,Fall,Gymnasium,Sunny,High,Morning,Cooling,Regular_Class,Post_Maintenance,55.5,18.7,286.0,28.44,10.69,2235.3,620.1
6,91.0,35.95,18.0,6,151.45,12,Winter,Auditorium,sunny,Low,Morning,Cooling,Regular_Class,Normal,88.9,30.5,328.1,7.16,4.0,1637.5,454.9
17,,33.64,22.0,5,223.44,12,Winter,Gymnasium,Cloudy,Medium,Afternoon,Cooling,Regular_Class,Post_Maintenance,79.4,25.2,421.5,20.52,11.36,2769.7,530.9
15,165.0,21.11,6.0,2,113.98,4,Spring,Laboratory,Sunny,Medium,Afternoon,Auto,Regular_Class,Normal,69.7,1.0,422.9,13.37,12.97,2332.6,492.6
12,300.0,27.88,24.0,4,199.77,8,Summer,Gymnasium,Windy,High,Afternoon,Heating,Holiday,Normal,48.3,21.7,659.5,26.6,8.07,434.8,580.3
0,556.0,37.82,21.0,1,311.5,11,Fall,Auditorium,Rainy,Full,Night,Ventilation,Workshop,Post_Maintenance,41.5,26.8,3.5,12.47,7.12,1354.0,
5,1497.0,32.08,10.0,3,890.56,10,Fall,Library,,Full,Night,Heating,Seminar,Post_Maintenance,34.9,38.7,19.6,,4.12,502.9,1126.6
8,268.0,27.86,9.0,1,156.58,3,Spring,Classroom,Rainy,Medium,Morning,Cooling,Holiday,Normal,73.9,28.4,227.6,2.64,2.07,2732.8,536.0
17,591.0,39.72,23.0,1,323.75,6,Summer,Cafeteria,Rainy,Full,Afternoon,Off,Sports_Event,,87.9,27.2,390.1,9.54,13.34,604.2,735.9
21,0.0,15.92,34.0,1,72.06,6,Summer,Laboratory,Windy,,Evening,Auto,Regular_Class,Normal,57.7,33.8,17.6,11.96,13.8,2419.3,404.8
23,131.0,21.68,49.0,2,245.88,4,Spring,Office,Rainy,Medium,Evening,Heating,No_Event,,43.5,15.3,0.9,7.41,2.65,500.7,
