Time_of_Day,Students_Present,Temperature_C,Appliance_Usage,Day_of_Week,Energy_Consumption_kWh,Month,Season,Building_Type,Weather_Condition,Occupancy_Level,Shift,HVAC_Mode,Event_Type,Maintenance_Status,Humidity_Percent,Wind_Speed_kmh,Solar_Radiation_Wm2,HVAC_Usage_kW,Lighting_Usage_kW,Water_Usage_Liters,CO2_Level_ppm
3,436.0,28.03,37.0,6,246.95,12,3,6,6,1,3,1,4,0,40.0,12.3,6.9,6.8,7.07,1749.5,558.9
0,460.0,17.86,22.0,5,307.07,5,1,3,5,1,3,4,3,3,39.3,12.6,5.5,20.03,4.69,738.0,612.0
16,408.0,35.45,10.0,5,277.85,4,1,6,0,4,0,3,2,1,31.5,3.6,419.0,19.5,8.45,151.1,564.9
0,4535.0,37.89,58.0,3,229.41,9,0,2,4,2,3,4,4,0,42.6,25.3,13.0,20.05,9.66,316.0,469.5
5,73.0,18.08,56.0,6,221.94,9,0,2,0,4,3,2,1,0,57.2,4.0,7.7,26.83,0.74,1745.8,439.4
13,543.0,34.48,18.0,3,279.54,4,1,2,2,0,0,2,4,2,42.2,13.7,593.6,4.52,8.62,1630.0,677.4
16,201.0,34.27,46.0,4,259.97,9,0,4,6,3,0,3,4,0,90.4,45.4,214.1,7.16,11.06,2020.6,483.0
22,53.0,22.86,7.0,1,41.01,7,2,2,6,2,1,3,5,4,31.2,0.9,17.3,2.32,9.02,974.1,540.5
20,465.0,25.04,58.0,6,384.93,8,2,7,6,1,1,1,1,1,31.0,23.8,13.7,0.03,2.64,326.0,641.8
19,124.0,20.2,29.0,6,180.39,3,1,2,4,3,1,4,4,0,82.7,40.2,4.9,26.44,3.76,548.9,540.5
15,177.0,-22.355500846142,12.0,2,161.07,7,2,0,6,3,0,1,3,0,61.7,49.3,921.6,14.26,13.16,1656.4,540.5
18,343.0,17.45,3.0,4,166.5,7,2,7,2,1,1,1,7,0,74.1,14.6,954.9,2.43,9.55,1988.1,557.6
5,48.0,15.89,17.0,7,141.44,3,1,0,6,2,3,3,3,4,45.1,5.3,2.4,22.09,6.81,1514.45,429.3
18,23.0,18.87,50.0,2,207.26,12,3,2,4,2,1,0,3,0,57.0,22.9,349.9,24.57,13.22,668.4,410.5
7,281.5,21.35,59.0,4,250.38,2,3,6,0,3,2,4,2,0,66.6,31.1,747.0,28.57,2.54,2238.5,509.8
12,214.0,31.3,9.0,4,209.31,1,3,3,6,3,0,6,2,0,31.7,46.3,565.6,5.87,3.76,2234.0,512.6
8,58.0,25.08,48.0,3,208.61,7,2,2,6,2,2,1,1,3,40.3,28.4,870.5,24.03,7.18,1508.4,420.1
18,285.0,15.42,55.0,3,270.04,3,1,3,6,3,1,0,7,1,40.9,25.6,974.2,28.05,11.29,1034.8,523.6
9,583.0,27.91,14.0,6,299.99,2,3,7,0,0,2,1,4,0,81.5,45.3,968.4,18.51,5.29,1908.5,701.6
21,35.0,27.27,46.0,6,155.78,11,0,6,4,2,1,4,6,0,37.7,31.2,0.5,11.62,10.61,1551.9,439.1
13,570.0,16.24,30.0,7,324.16,6,2,4,0,0,0,3,4,0,75.4,10.1,897.9,29.43,10.36,2459.8,666.9
21,255.0,15.86,37.0,7,215.48,12,3,0,1,3,1,1,1,0,43.4,42.3,0.2,22.91,5.4,2613.4,533.9
19,19.0,24.93,34.0,7,131.95,10,0,2,6,2,1,4,4,0,52.5,24.8,14.4,0.91,9.4,1249.7,424.4
18,5.0,25.59,46.0,2,181.68,6,2,6,4,2,1,2,6,0,72.0,44.7,272.7,19.85,5.73,2575.6,413.9
22,412.0,27.91,40.0,4,321.18,6,2,0,4,1,1,1,4,0,62.5,40.4,17.2,11.59,6.64,117.4,628.4
17,400.0,20.93,52.0,1,301.01,1,3,9,0,1,0,0,2,0,59.4,25.0,611.0,15.24,6.41,2185.3,586.3
1,4271.0,23.04,28.0,6,179.17,2,3,0,4,3,3,1,5,0,51.5,2.1,172.3,29.73,7.86,604.4,517.0
10,478.0,36.83,59.0,6,343.79,12,3,2,1,1,2,4,3,3,69.4,20.4,148.5,24.54,0.07,424.0,644.7
6,500.0,27.91,33.0,3,340.6,9,0,4,8,0,2,1,4,0,38.1,30.5,552.2,27.83,9.69,554.4,540.5
17,381.0,20.59,26.0,4,234.54,10,0,0,6,1,0,2,5,0,62.5,4.7,919.8,18.41,9.37,1817.7,606.8
16,433.0,39.56,30.0,2,360.31,1,3,0,6,1,0,3,7,0,30.2,49.9,374.0,29.14,3.34,589.9,592.7
11,183.0,16.13,6.0,6,126.75,9,0,1,7,3,2,3,4,0,39.4,43.4,225.0,26.61,11.61,1514.45,437.4
12,488.0,16.28,3.0,7,211.36,2,3,6,6,1,0,1,7,0,62.5,24.6,554.1,5.76,14.25,1072.4,660.8
9,177.0,17.08,19.0,1,183.69,2,3,1,6,3,2,2,3,0,87.7,25.25,658.3,21.43,8.0,284.1,536.6
10,472.0,28.85,14.0,1,274.0,10,0,7,6,1,2,4,4,0,62.5,42.5,210.9,4.67,11.66,605.8,670.9
5,219.0,36.2,32.0,2,202.38,5,1,0,7,3,3,3,3,0,33.7,34.3,12.1,26.4,6.69,1074.3,481.9
6,247.0,25.73,30.0,4,242.58,12,3,0,1,3,2,1,4,0,43.3,1.9,574.1,23.0,14.97,2686.8,528.9
21,436.0,36.83,20.0,3,298.03,11,0,4,5,1,1,2,4,0,74.4,15.2,6.9,26.0,13.73,650.9,660.4
11,137.0,27.27,5.0,2,137.35,8,2,0,6,3,2,1,1,3,90.1,24.7,142.8,29.47,4.12,835.0,480.2
9,281.5,19.79,34.0,7,258.59,6,2,4,0,1,2,4,7,0,71.9,22.0,129.6,12.29,5.87,907.3,550.9
1,309.0,18.86,12.0,5,210.74,4,1,3,6,1,3,3,4,3,74.2,43.5,16.3,15.19,0.06,461.7,585.3
12,171.0,38.63,12.0,2,186.44,1,3,0,7,3,0,3,2,2,41.2,24.7,749.3,16.38,7.06,2857.4,483.1
7,327.0,25.47,19.0,1,205.04,3,1,3,6,1,2,4,4,3,44.8,16.2,794.2,8.99,3.55,1895.3,540.5
7,281.5,35.5,10.0,5,183.33,9,0,7,0,3,2,0,4,0,77.0,16.7,867.6,7.47,10.89,1868.4,432.1
6,383.0,38.16,52.0,1,362.74,2,3,3,6,1,2,1,1,2,39.0,21.1,376.7,15.19,10.23,1399.1,540.5
15,202.0,28.93,28.0,4,182.57,10,0,2,6,3,0,1,7,3,59.7,31.8,172.3,5.85,2.14,1764.4,490.1
7,281.5,32.85,26.0,5,272.0,3,1,3,6,1,2,2,5,0,31.0,28.7,699.6,27.23,12.11,2233.9,569.6
21,517.0,26.8,24.0,1,262.86,5,1,9,0,0,1,2,7,2,34.7,6.2,1.4,1.57,2.26,2824.6,693.8
9,101.0,23.15,15.0,6,148.83,1,3,3,2,3,2,1,4,0,67.8,35.5,172.3,5.65,3.81,571.7,508.2
18,140.0,27.27,3.0,1,181.75,4,1,7,0,3,1,1,1,0,39.1,38.2,134.9,3.32,2.25,1141.8,453.6
21,176.0,27.91,49.0,1,252.31,3,1,0,2,3,1,4,4,2,43.7,1.1,10.6,26.74,14.76,1912.5,459.2
1,252.0,37.47,1.0,2,159.52,10,0,4,2,3,3,2,6,1,87.1,23.8,3.9,9.5,6.52,708.9,547.0
20,96.0,16.18,42.0,5,177.97,5,1,7,1,2,1,1,4,1,82.2,3.2,7.9,28.99,11.64,2928.4,392.5
12,264.0,37.21,43.0,4,235.67,11,0,6,2,3,0,6,2,0,53.1,14.5,818.6,3.5,12.58,1186.5,562.5
15,527.0,38.36,30.0,4,339.0,2,3,1,7,0,0,3,6,0,93.7,34.7,241.4,2.64,9.69,718.7,652.7
2,56.0,37.49,36.0,6,154.81,7,2,1,8,2,3,3,4,0,91.7,5.8,11.5,22.31,11.59,271.8,471.1
13,281.5,16.47,45.0,7,239.85,12,3,2,0,4,0,4,4,0,65.6,2.7,772.5,22.38,8.14,799.4,527.4
16,11.0,29.1,12.0,3,67.83,7,2,4,1,2,0,2,2,0,94.9,12.7,948.3,9.18,11.6,2973.4,451.6
10,280.0,27.91,22.0,3,250.32,2,3,3,7,3,2,4,6,3,61.7,7.4,895.8,20.11,10.53,2762.0,572.9
5,327.0,18.3,13.0,5,221.59,7,2,3,4,1,3,0,1,0,37.7,12.9,3.5,0.44,2.19,1876.5,529.9
21,22.0,35.56,31.0,5,184.09,7,2,3,1,2,1,1,4,0,63.6,38.5,7.8,3.98,8.19,352.2,398.3
10,40.0,28.64,3.0,2,128.44,4,1,3,6,4,2,2,2,1,81.3,5.1,233.7,29.41,1.4,1571.3,451.3
5,564.0,25.88,47.0,4,336.61,11,0,3,2,0,3,2,5,0,81.3,36.0,7.1,22.79,1.56,1776.1,540.5
3,420.0,19.02,0.0,4,202.78,3,1,6,2,1,3,6,4,0,68.1,44.5,4.2,11.9,7.755,934.6,622.6
3,311.0,20.49,56.0,7,355.95,5,1,1,4,1,3,4,4,1,45.6,34.9,2.9,23.76,11.74,2148.9,566.2
0,397.0,28.3,26.0,5,271.43,2,3,2,5,1,3,1,4,1,52.3,15.1,17.4,6.7,12.18,1618.3,567.0
21,155.0,26.14,17.0,2,170.54,2,3,0,6,3,1,0,4,0,82.8,46.4,3.2,6.03,6.93,1514.45,528.5
22,293.0,27.6,4.0,5,214.56,8,2,7,6,3,1,4,2,0,66.7,25.0,18.7,23.85,10.01,898.7,513.3
23,425.0,39.7,12.0,4,255.57,4,1,4,6,1,1,1,4,4,54.7,30.3,18.5,26.42,3.96,468.5,638.6
2,262.0,27.91,12.0,7,164.29,2,3,2,0,3,3,4,2,0,91.0,24.7,2.2,1.36,10.96,1514.45,476.2
17,81.0,35.63,6.0,2,127.75,7,2,7,6,2,0,1,3,0,60.2,39.1,671.0,25.51,1.87,943.4,484.7
22,404.0,16.17,14.0,4,262.83,4,1,6,1,1,1,1,3,1,80.6,14.2,7.9,9.1,1.92,1256.2,611.7
1,113.0,38.34,44.0,3,202.09,7,2,1,5,3,3,1,4,1,44.3,25.25,18.6,8.24,2.69,1052.3,459.1
11,281.5,36.68,37.0,6,282.0,11,0,4,7,1,2,4,3,2,39.3,21.3,773.7,25.5,1.24,346.4,567.7
11,172.0,37.77,41.0,5,227.25,10,0,4,2,3,2,2,4,0,43.6,13.8,977.4,3.51,9.83,1323.3,490.0
23,553.0,24.98,30.0,4,356.83,6,2,7,0,4,1,2,1,2,33.5,22.6,16.3,3.74,7.755,276.5,669.8
11,394.0,18.37,56.0,1,343.46,12,3,0,7,1,2,1,4,0,79.3,29.7,172.3,21.24,8.38,1514.45,621.6
18,588.0,32.88,4.0,7,300.55,10,0,0,8,0,1,2,1,0,93.5,42.7,708.9,20.88,11.13,840.6,681.9
7,519.0,16.08,16.0,1,251.83,9,0,7,4,4,2,1,2,4,34.0,43.0,172.3,7.68,13.53,2603.3,666.2
17,24.0,21.41,31.0,1,168.62,11,0,2,5,2,0,2,1,0,54.0,6.3,330.2,16.5,6.3,429.5,405.3
4,205.0,20.13,49.0,1,234.81,4,1,3,0,3,3,2,7,0,45.8,19.7,8.2,14.84,3.09,1368.5,517.1
13,570.0,17.02,9.0,4,257.38,4,1,7,8,0,0,4,1,0,56.9,6.9,537.7,29.93,0.74,987.1,727.3
22,464.0,29.63,7.0,1,247.59,10,0,7,6,4,1,2,5,1,65.7,30.9,5.7,13.38,1.54,2421.4,635.6
0,98.0,33.01,54.0,7,195.02,3,1,3,4,2,3,6,4,0,77.8,14.8,1.0,21.21,10.9,301.4,445.9
6,208.0,32.87,25.0,7,214.93,8,2,2,6,3,2,1,4,0,63.4,20.4,172.3,14.24,12.48,2215.3,512.0
17,272.0,34.64,18.0,6,237.57,6,2,9,1,3,0,1,6,0,76.0,9.2,397.8,15.024999999999999,0.26,846.4,577.6
16,529.0,23.0,0.0,7,224.76,11,0,7,4,0,0,1,3,1,43.2,26.0,698.8,11.25,14.14,2815.0,665.6
0,285.0,27.91,30.0,5,255.71,4,1,6,6,3,3,1,4,2,54.2,2.7,9.8,4.32,11.39,1078.2,526.1
0,204.0,38.65,27.0,6,226.46,1,3,1,5,3,3,3,6,0,56.9,25.4,11.4,10.33,7.92,1285.4,521.5
21,7.0,31.35,39.0,5,168.88,9,0,3,0,2,1,3,4,1,35.4,23.0,12.2,26.43,13.7,1243.8,443.6
4,171.0,34.9,54.0,2,212.09,12,3,3,8,3,3,1,3,1,63.3,31.0,7.9,12.96,1.69,456.2,540.5
4,81.0,27.91,31.0,1,193.62,9,0,3,1,2,3,2,4,2,86.2,15.5,13.8,9.48,7.755,674.8,519.1
22,17.0,19.1,7.0,1,95.65,1,3,6,6,2,1,0,1,0,61.4,10.4,0.7,2.76,0.92,2897.9,372.5
16,556.0,39.31,1.0,7,275.24,12,3,3,6,0,0,4,4,0,52.8,14.6,414.3,15.024999999999999,3.87,1890.6,679.2
4,72.0,39.14,22.0,4,169.63,6,2,0,0,2,3,1,4,3,-4.40690852877878,43.2,7.3,25.76,1.12,1630.3,475.6
2,128.0,28.55,42.0,6,187.89,1,3,4,6,3,3,6,1,4,75.2,1.0,8.0,8.67,8.31,185.0,428.3
7,57.0,27.91,39.0,4,192.48,1,3,4,6,2,2,6,1,0,62.5,17.5,262.9,3.29,3.11,1899.5,480.9
3,414.0,21.62,58.0,2,352.26,10,0,1,4,1,3,4,4,0,62.5,28.1,15.8,15.024999999999999,13.98,1809.6,618.3
9,221.0,38.8,32.0,2,222.16,9,0,1,0,3,2,6,4,1,37.0,40.0,566.5,28.25,12.08,1035.9,505.7
18,274.0,29.82,24.0,4,251.63,7,2,9,0,3,1,1,5,0,93.7,17.4,918.0,5.93,7.13,651.2,552.3
18,305.0,34.44,27.0,5,265.22,7,2,2,8,1,1,4,1,0,89.1,19.9,767.0,12.52,10.13,2542.3,541.1
6,245.0,20.11,12.0,2,184.88,12,3,7,2,3,2,6,4,4,82.4,33.3,204.7,13.62,2.64,2530.5,524.3
7,99.0,26.83,50.0,5,208.26,9,0,4,7,4,2,3,2,0,49.8,47.6,436.5,6.78,13.44,294.1,472.3
7,402.0,29.21,24.0,3,249.77,5,1,7,8,1,2,4,1,0,66.4,44.5,407.2,23.86,7.48,1301.0,665.5
6,489.0,26.35,28.0,4,299.65,11,0,0,0,1,2,2,4,0,61.9,49.1,500.3,27.64,7.87,1608.3,606.9
14,163.0,32.92,5.0,5,173.72,9,0,0,2,3,0,1,2,0,78.4,25.25,961.4,23.26,7.755,2027.9,429.2
20,281.5,38.16,37.0,5,312.07,8,2,1,6,1,1,6,4,0,72.1,33.7,18.7,10.03,4.76,374.2,571.1
0,281.5,26.38,19.0,5,299.44,11,0,7,4,1,3,6,2,3,90.4,26.1,16.4,29.9,14.64,251.3,630.6
10,258.0,39.04,4.0,7,162.82,1,3,7,2,3,2,3,3,0,54.9,47.8,908.3,22.73,11.9,464.5,526.6
1,301.0,27.91,41.0,1,257.16,8,2,7,2,1,3,1,4,1,67.4,31.2,5.3,6.55,7.96,1509.7,563.6
21,126.0,28.91,8.0,6,178.54,1,3,7,5,3,1,1,2,0,81.6,6.4,10.3,25.26,7.68,2522.7,490.8
21,281.5,32.26,8.0,2,150.11,8,2,6,6,3,1,4,4,0,46.8,26.1,4.8,11.29,3.32,1982.3,474.6
14,513.0,34.51,42.0,1,355.68,2,3,6,6,0,0,0,4,4,49.7,7.6,988.5,23.9,3.89,1608.7,654.7
16,305.0,18.01,55.0,4,298.3,10,0,3,6,1,0,6,4,0,75.2,35.5,171.7,1.81,14.32,1500.7,550.6
6,184.0,30.0,52.0,3,257.91,9,0,9,6,3,2,1,4,0,94.3,16.9,909.4,1.92,7.06,2384.9,498.1
20,267.0,33.0,27.0,6,239.69,2,3,6,6,4,1,1,7,4,76.2,31.0,2.9,6.92,8.05,237.9,514.9
1,183.0,17.9,51.0,3,194.07,12,3,5,6,3,3,1,3,1,36.8,32.0,17.0,1.21,0.59,1903.2,490.9
2,587.0,19.0,26.0,5,312.57,5,1,3,6,0,3,0,4,0,81.4,24.1,9.3,21.34,0.19,1523.8,740.4
22,284.0,28.46,44.0,5,298.36,10,0,3,6,3,1,1,1,0,72.2,21.3,7.1,14.62,7.48,199.1,561.7
4,508.0,37.91,38.0,1,342.54,4,1,0,6,0,3,3,6,1,62.2,45.6,10.2,11.01,11.08,1258.6,632.2
19,433.0,28.05,13.0,1,287.91,4,1,3,6,1,1,6,1,1,93.5,20.3,13.7,3.55,10.74,2502.5,621.7
22,24.0,20.89,32.0,4,107.22,6,2,2,4,2,1,1,4,0,94.4,7.3,5.4,9.55,12.08,293.9,431.8
9,385.0,24.78,53.0,4,307.67,6,2,7,4,1,2,1,6,0,54.0,7.9,859.5,26.16,2.27,175.5,595.4
7,39.0,34.61,41.0,4,208.88,12,3,9,6,2,2,0,7,0,74.4,32.8,743.8,20.65,0.91,2987.3,447.6
7,419.0,36.27,10.0,4,272.48,10,0,3,6,1,2,1,4,1,55.5,18.7,286.0,28.44,10.69,2235.3,620.1
6,91.0,35.95,18.0,6,151.45,12,3,0,9,2,2,1,4,0,88.9,30.5,328.1,7.16,4.0,1637.5,454.9
17,281.5,33.64,22.0,5,223.44,12,3,3,0,3,0,1,4,1,79.4,25.2,421.5,20.52,11.36,2769.7,530.9
15,165.0,21.11,6.0,2,113.98,4,1,4,6,3,0,0,4,0,69.7,1.0,422.9,13.37,12.97,2332.6,492.6
12,300.0,27.88,24.0,4,199.77,8,2,3,7,1,0,2,2,0,48.3,21.7,659.5,26.6,8.07,434.8,580.3
0,556.0,37.82,21.0,1,311.5,11,0,0,4,0,3,4,7,1,41.5,26.8,3.5,12.47,7.12,1354.0,540.5
8,268.0,27.86,9.0,1,156.58,3,1,2,4,3,2,1,2,0,73.9,28.4,227.6,2.64,2.07,2732.8,536.0
17,591.0,39.72,23.0,1,323.75,6,2,1,4,0,0,3,6,4,87.9,27.2,390.1,9.54,13.34,604.2,735.9
21,0.0,15.92,34.0,1,72.06,6,2,4,7,4,1,0,4,0,57.7,33.8,17.6,11.96,13.8,2419.3,404.8
23,131.0,21.68,49.0,2,245.88,4,1,7,4,3,1,2,3,4,43.5,15.3,0.9,7.41,2.65,500.7,540.5
8,19.0,18.15,41.0,6,145.85,6,2,0,4,2,2,0,6,0,86.8,10.3,839.8,16.84,11.59,1514.45,540.5
0,281.5,38.61,16.0,5,292.06,7,2,4,4,1,3,4,5,2,66.7,16.6,11.9,2.99,11.4,1109.1,610.1
13,186.0,17.12,45.0,6,217.38,3,1,7,0,3,0,1,1,0,70.9,25.9,579.7,12.18,1.01,2563.4,551.3
5,386.0,39.95,10.0,2,211.76,6,2,3,2,1,3,1,5,1,52.4,25.1,8.1,27.45,10.84,2607.0,585.6
14,77.0,21.91,30.0,3,95.62,5,1,0,6,2,0,6,7,4,53.9,29.2,541.5,9.58,1.9,1329.5,412.5
8,325.0,36.97,37.0,4,267.13,4,1,0,0,1,2,1,1,0,62.5,31.4,305.7,6.25,7.44,2874.3,531.0
15,578.0,17.58,21.0,4,270.81,8,2,7,6,0,0,2,6,0,53.7,35.9,809.2,19.69,12.88,2564.4,710.3
20,121.0,27.06,27.0,3,176.55,1,3,1,6,3,1,3,3,1,74.4,31.0,19.2,24.83,6.6,2787.5,487.4
14,558.0,36.75,30.0,2,346.65,10,0,7,0,0,0,4,2,1,62.5,16.7,142.0,12.41,14.71,607.4,715.4
23,578.0,31.02,52.0,2,359.72,3,1,0,8,0,1,1,3,0,94.5,34.7,5.1,22.47,3.64,1514.45,691.6
14,346.0,27.1,26.0,1,278.17,5,1,1,7,1,0,3,3,0,46.7,1.7,185.8,28.9,12.82,2484.9,549.8
12,294.0,38.42,26.0,1,257.13,8,2,6,2,3,0,0,4,0,89.8,26.6,696.7,14.34,6.33,1792.6,509.8
4,217.0,27.91,58.0,6,214.25,3,1,0,6,3,3,1,3,0,39.8,27.9,5.6,23.99,7.93,1115.8,467.6
17,569.0,31.56,31.0,1,341.86,4,1,4,4,0,0,4,3,1,62.6,6.3,597.0,24.33,5.56,2677.7,697.8
2,572.0,29.3,44.0,2,375.53,2,3,6,4,4,3,3,1,1,52.2,29.8,3.1,21.36,0.42,2723.6,655.3
7,239.0,18.07,24.0,1,185.53,9,0,0,0,4,2,1,3,1,84.8,34.0,189.0,22.69,5.48,575.5,546.6
23,326.0,37.29,53.0,3,312.72,2,3,3,4,1,1,0,2,0,60.4,30.4,16.1,5.74,13.03,887.8,576.1
3,495.0,39.38,57.0,5,445.28,9,0,7,7,1,3,2,1,0,48.6,24.6,13.6,15.21,12.22,1514.45,540.5
0,585.0,26.64,9.0,4,289.53,1,3,4,6,4,3,4,4,3,37.2,27.6,14.5,15.53,12.17,1944.7,747.5
11,281.5,17.21,59.0,3,283.13,7,2,1,6,3,2,4,4,4,55.2,3.8,282.5,24.48,4.41,293.5,496.8
18,57.0,26.28,17.0,6,135.2,5,1,9,0,2,1,4,4,2,69.2,5.8,155.7,13.48,9.29,774.4,413.9
15,183.0,28.0,37.0,4,200.5,8,2,6,7,3,0,1,4,0,64.6,37.1,245.1,3.13,8.03,1514.45,515.4
7,201.0,24.39,38.0,3,226.75,11,0,2,5,3,2,1,4,0,82.9,9.2,657.6,15.024999999999999,4.66,386.9,540.5
10,171.0,22.06,49.0,3,245.75,7,2,1,6,3,2,1,6,3,32.3,13.6,500.3,15.89,7.94,1072.2,488.3
20,81.0,34.57,27.0,5,205.13,7,2,6,8,2,1,1,4,2,51.6,18.6,19.3,17.71,1.16,832.4,418.5
8,478.0,20.0,36.0,6,311.45,12,3,0,0,1,2,1,1,0,61.3,1.0,342.9,26.37,13.4,1514.45,662.9
1,304.0,27.91,8.0,7,213.06,11,0,3,6,1,3,4,3,0,80.1,23.5,4.3,2.34,12.57,2890.1,530.2
19,107.0,18.25,48.0,5,216.68,4,1,1,0,3,1,2,1,0,51.7,15.5,19.9,23.16,5.3,2125.4,491.8
3,372.0,30.99,44.0,2,285.97,10,0,4,7,1,3,1,3,3,79.9,50.0,4.3,28.97,7.69,411.5,574.9
6,223.0,21.81,30.0,5,151.09,5,1,0,7,3,2,0,3,0,62.5,22.7,937.8,28.73,11.19,1943.1,483.7
14,281.5,29.31,49.0,7,151.82,8,2,9,6,2,0,1,4,1,39.1,19.2,909.1,28.02,0.13,2687.2,461.1
13,339.0,24.65,5.0,5,198.48,1,3,6,6,1,0,2,3,3,52.4,2.4,934.0,25.91,1.58,344.6,590.3
12,281.5,25.11,30.0,4,250.04,11,0,6,6,3,0,3,2,0,74.9,39.0,815.1,27.75,2.57,456.8,512.1
14,149.0,32.85,43.0,3,217.78,4,1,1,4,4,0,1,6,0,49.1,15.8,775.0,26.28,1.25,1307.6,443.2
18,34.0,27.91,13.0,3,114.42,2,3,7,0,4,1,4,7,0,60.8,48.7,320.3,15.024999999999999,12.44,2973.5,419.6
19,50.0,25.11,7.0,2,48.06,4,1,6,7,2,1,3,3,0,91.3,2.9,14.3,2.24,14.22,2694.5,488.9
11,176.0,-23.12153167322644,17.0,5,138.49,11,0,1,1,3,2,1,1,0,67.2,29.6,172.3,9.37,7.755,478.2,468.0
9,281.5,27.09,55.0,4,237.17,11,0,2,6,4,2,2,2,1,81.7,16.8,726.1,21.45,1.22,1373.0,403.3
19,97.0,33.28,36.0,3,151.73,7,2,0,2,2,1,1,6,0,62.5,43.7,5.8,23.74,0.72,2328.3,437.2
10,246.0,30.22,30.0,7,229.45,8,2,3,7,3,2,2,4,1,62.5,20.4,772.1,14.04,7.755,2519.6,530.6
23,541.0,31.04,6.0,1,254.9,4,1,7,4,0,1,2,4,1,48.3,36.8,1.6,26.89,7.98,2837.8,666.9
19,330.0,26.16,59.0,6,304.67,11,0,1,5,4,1,1,4,0,87.9,35.9,4.6,0.73,2.46,1852.8,586.9
14,530.0,16.52,31.0,6,312.36,1,3,7,0,0,0,4,1,0,35.6,10.9,614.3,23.11,7.13,1273.3,674.9
20,402.0,25.5,55.0,1,354.47,9,0,9,4,1,1,4,4,0,85.5,34.1,1.1,14.44,7.755,1663.4,632.1
22,234.0,39.23,29.0,4,181.78,8,2,1,6,3,1,4,1,4,64.1,47.4,18.6,4.66,8.2,2529.5,534.8
15,301.0,17.23,52.0,1,275.24,3,1,6,6,1,0,1,1,0,88.0,37.4,104.9,26.91,2.69,2713.0,485.2
2,281.5,29.71,33.0,6,339.81,7,2,7,2,4,3,0,4,0,89.8,47.3,9.1,14.58,5.65,1725.7,447.7
23,168.0,17.99,8.0,5,121.05,7,2,6,0,3,1,4,4,0,46.2,23.0,10.9,15.024999999999999,11.25,2058.3,522.0
20,526.0,19.56,46.0,1,348.67,11,0,4,4,0,1,1,4,1,70.7,25.25,10.6,8.1,4.28,1804.3,639.5
6,441.0,39.44,1.0,5,254.4,10,0,3,7,1,2,4,1,0,76.2,10.8,351.9,11.42,5.25,1892.1,631.8
15,407.0,27.86,10.0,4,255.14,2,3,0,4,1,0,3,4,0,70.7,34.4,338.4,15.73,6.32,925.9,597.0
